GioiTinh,DoTuoi,HocVan,ThamNien,ThuNhap
Nữ,Từ 18 - 25 tuổi,Cao đẳng,Từ 1 - 3 năm,Dưới 10 triệu
Nữ,Từ 36 - 45 tuổi,Đại học,Từ 3 - 5 năm,Từ 15 – dưới 20 triệu
Nam,Từ 18 - 25 tuổi,Đại học,Từ 1 - 3 năm,Từ 10 – dưới 15 triệu
Nữ,Từ 36 - 45 tuổi,Đại học,Từ 3 - 5 năm,Từ 20 triệu trở lên
Nam,Trên 45 tuổi,Cao đẳng,Trên 5 năm,Từ 20 triệu trở lên
Nữ,Từ 36 - 45 tuổi,Đại học,Từ 3 - 5 năm,Từ 15 – dưới 20 triệu
Nam,Từ 26 - 35 tuổi,Đại học,Trên 5 năm,Từ 15 – dưới 20 triệu
Nam,Trên 45 tuổi,Đại học,Trên 5 năm,Từ 15 – dưới 20 triệu
Nam,Từ 36 - 45 tuổi,Trên đại học,Từ 3 - 5 năm,Từ 20 triệu trở lên
Nam,Trên 45 tuổi,Cao đẳng,Trên 5 năm,Từ 15 – dưới 20 triệu
Nam,Từ 26 - 35 tuổi,Cao đẳng,Từ 3 - 5 năm,Từ 15 – dưới 20 triệu
Nữ,Từ 18 - 25 tuổi,Đại học,Dưới 1 năm,Dưới 10 triệu
Nam,Từ 26 - 35 tuổi,Đại học,Dưới 1 năm,Từ 10 – dưới 15 triệu
Nữ,Từ 26 - 35 tuổi,Cao đẳng,Từ 3 - 5 năm,Từ 15 – dưới 20 triệu
Nữ,Từ 36 - 45 tuổi,Cao đẳng,Từ 3 - 5 năm,Từ 20 triệu trở lên
Nữ,Từ 18 - 25 tuổi,Đại học,Từ 1 - 3 năm,Dưới 10 triệu
Nam,Trên 45 tuổi,Đại học,Trên 5 năm,Từ 15 – dưới 20 triệu
Nữ,Từ 26 - 35 tuổi,Cao đẳng,Từ 1 - 3 năm,Từ 10 – dưới 15 triệu
Nam,Từ 36 - 45 tuổi,Đại học,Từ 3 - 5 năm,Từ 15 – dưới 20 triệu
Nữ,Từ 36 - 45 tuổi,Đại học,Trên 5 năm,Từ 20 triệu trở lên
Nữ,Từ 26 - 35 tuổi,Đại học,Từ 3 - 5 năm,Từ 15 – dưới 20 triệu
Nam,Từ 18 - 25 tuổi,Cao đẳng,Dưới 1 năm,Từ 10 – dưới 15 triệu
Nữ,Từ 36 - 45 tuổi,Đại học,Từ 3 - 5 năm,Từ 20 triệu trở lên
Nam,Từ 26 - 35 tuổi,Cao đẳng,Từ 3 - 5 năm,Từ 15 – dưới 20 triệu
Nữ,Từ 36 - 45 tuổi,Đại học,Từ 3 - 5 năm,Từ 20 triệu trở lên
Nam,Từ 36 - 45 tuổi,Đại học,Trên 5 năm,Từ 15 – dưới 20 triệu
Nữ,Từ 26 - 35 tuổi,Đại học,Trên 5 năm,Từ 15 – dưới 20 triệu
Nữ,Từ 26 - 35 tuổi,Đại học,Từ 3 - 5 năm,Từ 15 – dưới 20 triệu
Nữ,Từ 26 - 35 tuổi,Đại học,Trên 5 năm,Từ 15 – dưới 20 triệu
Nữ,Từ 26 - 35 tuổi,Cao đẳng,Trên 5 năm,Từ 15 – dưới 20 triệu
Nữ,Từ 18 - 25 tuổi,Đại học,Từ 1 - 3 năm,Dưới 10 triệu
Nam,Từ 26 - 35 tuổi,Cao đẳng,Từ 3 - 5 năm,Từ 15 – dưới 20 triệu
Nữ,Từ 26 - 35 tuổi,Đại học,Trên 5 năm,Từ 15 – dưới 20 triệu
Nữ,Trên 45 tuổi,Đại học,Trên 5 năm,Từ 20 triệu trở lên
Nữ,Từ 36 - 45 tuổi,Trên đại học,Từ 3 - 5 năm,Từ 20 triệu trở lên
Nam,Từ 26 - 35 tuổi,Đại học,Từ 3 - 5 năm,Từ 10 – dưới 15 triệu
Nữ,Từ 36 - 45 tuổi,Đại học,Trên 5 năm,Từ 15 – dưới 20 triệu
Nữ,Từ 18 - 25 tuổi,Đại học,Từ 1 - 3 năm,Dưới 10 triệu
Nam,Từ 36 - 45 tuổi,Cao đẳng,Từ 3 - 5 năm,Từ 15 – dưới 20 triệu
Nữ,Từ 26 - 35 tuổi,Cao đẳng,Dưới 1 năm,Từ 10 – dưới 15 triệu
Nữ,Từ 36 - 45 tuổi,Đại học,Từ 1 - 3 năm,Từ 15 – dưới 20 triệu
Nữ,Trên 45 tuổi,Cao đẳng,Trên 5 năm,Từ 15 – dưới 20 triệu
Nam,Từ 18 - 25 tuổi,Cao đẳng,Dưới 1 năm,Từ 10 – dưới 15 triệu
Nữ,Từ 26 - 35 tuổi,Đại học,Từ 1 - 3 năm,Từ 10 – dưới 15 triệu
Nam,Từ 18 - 25 tuổi,Cao đẳng,Từ 1 - 3 năm,Từ 10 – dưới 15 triệu
Nam,Trên 45 tuổi,Cao đẳng,Trên 5 năm,Từ 20 triệu trở lên
Nam,Từ 26 - 35 tuổi,Đại học,Từ 1 - 3 năm,Từ 15 – dưới 20 triệu
Nữ,Từ 26 - 35 tuổi,Đại học,Từ 3 - 5 năm,Từ 10 – dưới 15 triệu
Nữ,Từ 18 - 25 tuổi,Đại học,Dưới 1 năm,Từ 10 – dưới 15 triệu
Nữ,Từ 18 - 25 tuổi,Đại học,Dưới 1 năm,Dưới 10 triệu
Nữ,Từ 26 - 35 tuổi,Đại học,Trên 5 năm,Từ 10 – dưới 15 triệu
Nữ,Từ 26 - 35 tuổi,Đại học,Dưới 1 năm,Từ 15 – dưới 20 triệu
Nữ,Từ 18 - 25 tuổi,Đại học,Dưới 1 năm,Dưới 10 triệu
Nữ,Từ 18 - 25 tuổi,Đại học,Dưới 1 năm,Dưới 10 triệu
Nam,Từ 36 - 45 tuổi,Đại học,Trên 5 năm,Từ 20 triệu trở lên
Nữ,Từ 26 - 35 tuổi,Đại học,Từ 1 - 3 năm,Từ 15 – dưới 20 triệu
Nữ,Từ 36 - 45 tuổi,Cao đẳng,Từ 3 - 5 năm,Từ 15 – dưới 20 triệu
Nam,Trên 45 tuổi,Trên đại học,Trên 5 năm,Từ 20 triệu trở lên
Nữ,Trên 45 tuổi,Trên đại học,Dưới 1 năm,Từ 15 – dưới 20 triệu
Nam,Từ 18 - 25 tuổi,Đại học,Dưới 1 năm,Dưới 10 triệu
Nữ,Từ 26 - 35 tuổi,Đại học,Từ 1 - 3 năm,Từ 10 – dưới 15 triệu
Nữ,Từ 26 - 35 tuổi,Đại học,Từ 3 - 5 năm,Từ 15 – dưới 20 triệu
Nam,Từ 26 - 35 tuổi,Cao đẳng,Từ 3 - 5 năm,Từ 10 – dưới 15 triệu
Nữ,Từ 18 - 25 tuổi,Cao đẳng,Dưới 1 năm,Dưới 10 triệu
Nữ,Từ 26 - 35 tuổi,Đại học,Dưới 1 năm,Từ 10 – dưới 15 triệu
Nữ,Từ 36 - 45 tuổi,Đại học,Từ 1 - 3 năm,Từ 10 – dưới 15 triệu
Nam,Từ 18 - 25 tuổi,Đại học,Từ 1 - 3 năm,Từ 10 – dưới 15 triệu
Nữ,Từ 26 - 35 tuổi,Đại học,Từ 1 - 3 năm,Từ 10 – dưới 15 triệu
Nam,Từ 36 - 45 tuổi,Đại học,Từ 3 - 5 năm,Từ 15 – dưới 20 triệu
Nam,Từ 26 - 35 tuổi,Đại học,Từ 3 - 5 năm,Từ 10 – dưới 15 triệu
Nam,Từ 26 - 35 tuổi,Đại học,Từ 3 - 5 năm,Từ 15 – dưới 20 triệu
Nữ,Từ 26 - 35 tuổi,Đại học,Trên 5 năm,Từ 15 – dưới 20 triệu
Nữ,Từ 18 - 25 tuổi,Đại học,Từ 1 - 3 năm,Dưới 10 triệu
Nam,Từ 18 - 25 tuổi,Cao đẳng,Dưới 1 năm,Dưới 10 triệu
Nam,Từ 36 - 45 tuổi,Đại học,Từ 3 - 5 năm,Từ 15 – dưới 20 triệu
Nữ,Từ 18 - 25 tuổi,Đại học,Từ 1 - 3 năm,Từ 10 – dưới 15 triệu
Nữ,Từ 36 - 45 tuổi,Đại học,Từ 1 - 3 năm,Từ 20 triệu trở lên
Nam,Từ 36 - 45 tuổi,Đại học,Từ 1 - 3 năm,Từ 20 triệu trở lên
Nam,Từ 18 - 25 tuổi,Đại học,Dưới 1 năm,Dưới 10 triệu
Nữ,Từ 18 - 25 tuổi,Đại học,Dưới 1 năm,Dưới 10 triệu
Nữ,Từ 26 - 35 tuổi,Cao đẳng,Từ 3 - 5 năm,Từ 15 – dưới 20 triệu
Nữ,Từ 36 - 45 tuổi,Đại học,Trên 5 năm,Từ 15 – dưới 20 triệu
Nữ,Từ 26 - 35 tuổi,Đại học,Từ 1 - 3 năm,Từ 10 – dưới 15 triệu
Nam,Từ 18 - 25 tuổi,Đại học,Từ 1 - 3 năm,Từ 10 – dưới 15 triệu
